10, 9, 8

 E, 1, 2, 93

 C, 1, 2, 197

 F, 1, 2, 99

 F, 1, 3, 91

 F, 1, 4, 0

 F, 1, 5, 93

 F, 1, 6, 99

 F, 1, 7, 3

 F, 1, 8, 0

 F, 1, 9, 90

 E, 1, 10, 91

 C, 1, 10, 479

 F, 1, 10, 0

 F, 2, 1, 90

 F, 2, 3, 91

 E, 2, 4, 93

 C, 2, 4, 287

 F, 2, 4, 98

 F, 2, 5, 0

 F, 2, 6, 92

 E, 2, 7, 92

 C, 2, 7, 279

 F, 2, 7, 2

 F, 2, 8, 96

 F, 2, 9, 91

 F, 2, 10, 0

 F, 3, 1, 0

 F, 3, 2, 95

 F, 3, 4, 0

 F, 3, 5, 96

 F, 3, 6, 0

 F, 3, 7, 92

 F, 3, 8, 91

 F, 3, 9, 0

 F, 3, 10, 91

 F, 4, 1, 3

 F, 4, 2, 95

 F, 4, 3, 0

 F, 4, 5, 0

 F, 4, 6, 94

 E, 4, 7, 5

 C, 4, 7, 195

 F, 4, 7, 0

 F, 4, 8, 0

 E, 4, 9, 97

 C, 4, 9, 189

 F, 4, 9, 94

 F, 4, 10, 0

 F, 5, 1, 91

 F, 5, 2, 0

 E, 5, 3, 98

 C, 5, 3, 192

 F, 5, 3, 97

 E, 5, 4, 97

 C, 5, 4, 144

 F, 5, 4, 2

 F, 5, 6, 0

 E, 5, 7, 95

 C, 5, 7, 190

 F, 5, 7, 94

 F, 5, 8, 93

 E, 5, 9, 3

 C, 5, 9, 190

 F, 5, 9, 0

 F, 5, 10, 0

 F, 6, 1, 0

 F, 6, 2, 93

 E, 6, 3, 91

 C, 6, 3, 193

 F, 6, 3, 0

 F, 6, 4, 95

 F, 6, 5, 0

 F, 6, 7, 90

 F, 6, 8, 0

 F, 6, 9, 0

 F, 6, 10, 99

 E, 7, 1, 98

 C, 7, 1, 470

 F, 7, 1, 94

 F, 7, 2, 0

 F, 7, 3, 0

 F, 7, 4, 0

 E, 7, 5, 98

 C, 7, 5, 148

 F, 7, 5, 0

 E, 7, 6, 96

 C, 7, 6, 671

 F, 7, 6, 98

 F, 7, 8, 0

 F, 7, 9, 98

 F, 7, 10, 0

 E, 8, 1, 94

 C, 8, 1, 104

 F, 8, 1, 0

 E, 8, 2, 92

 C, 8, 2, 244

 F, 8, 2, 99

 F, 8, 3, 98

 F, 8, 4, 95

 F, 8, 5, 0

 F, 8, 6, 0

 E, 8, 7, 96

 C, 8, 7, 102

 F, 8, 7, 0

 F, 8, 9, 0

 F, 8, 10, 99

 F, 9, 1, 3

 F, 9, 2, 0

 F, 9, 3, 0

 F, 9, 4, 92

 F, 9, 5, 0

 F, 9, 6, 0

 F, 9, 7, 0

 F, 9, 8, 90

 E, 9, 10, 91

 C, 9, 10, 99

 F, 9, 10, 0

 F, 10, 1, 91

 F, 10, 2, 0

 F, 10, 3, 0

 F, 10, 4, 0

 E, 10, 5, 98

 C, 10, 5, 416

 F, 10, 5, 0

 F, 10, 6, 94

 E, 10, 7, 91

 C, 10, 7, 292

 F, 10, 7, 0

 F, 10, 8, 94

 F, 10, 9, 0

